pop_won,city_state
1.018,"Stamford, Connecticut"
1.089,"Odessa, Texas"
1.101,"Naperville, Illinois"
1.117,"Rochester, Minnesota"
1.141,"Sacramento, California"
1.246,"Fairfield, California"
1.348,"Springfield, Missouri"
1.409,"Hollywood, Florida"
1.480,"Waterbury, Connecticut"
1.610,"Little Rock, Arkansas"
1.817,"Fort Lauderdale, Florida"
1.844,"Athens-Clarke County (balance), Georgia"
1.912,"Sparks, Nevada"
1.986,"Salem, Oregon"
1.994,"Cincinnati, Ohio"
2.184,"San Bernardino, California"
2.216,"Pompano Beach, Florida"
2.217,"League City, Texas"
2.289,"Antioch, California"
2.320,"Pearland, Texas"
2.500,"Elk Grove, California"
2.509,"Amarillo, Texas"
2.513,"Norman, Oklahoma"
2.704,"San Diego, California"
2.773,"High Point, North Carolina"
2.817,"Laredo, Texas"
2.834,"Spring Valley, Nevada"
3.081,"Richmond, Virginia"
3.298,"Santa Clara, California"
3.312,"Kansas City, Missouri"
3.348,"Scottsdale, Arizona"
3.420,"Worcester, Massachusetts"
3.612,"South Fulton, Georgia"
3.649,"Thornton, Colorado"
3.693,"Corona, California"
3.762,"Chandler, Arizona"
4.008,"Fresno, California"
4.030,"Columbia, Missouri"
4.165,"Lincoln, Nebraska"
4.205,"Brownsville, Texas"
4.228,"Winston-Salem, North Carolina"
4.249,"Tacoma, Washington"
4.258,"Las Cruces, New Mexico"
4.302,"Visalia, California"
4.449,"Greeley, Colorado"
4.698,"Moreno Valley, California"
4.756,"Gainesville, Florida"
4.834,"Abilene, Texas"
4.853,"Billings, Montana"
5.042,"Plano, Texas"
5.054,"Riverside, California"
5.070,"Miramar, Florida"
5.406,"Tyler, Texas"
5.473,"Chesapeake, Virginia"
5.577,"Arlington, Texas"
5.585,"McAllen, Texas"
5.641,"Victorville, California"
5.700,"Waco, Texas"
5.716,"St. Petersburg, Florida"
5.717,"Tallahassee, Florida"
5.894,"College Station, Texas"
5.996,"Charleston, South Carolina"
6.008,"Tempe, Arizona"
6.134,"Tucson, Arizona"
6.280,"Spring Hill, Florida"
6.541,"Glendale, Arizona"
6.741,"Clovis, California"
6.801,"Madison, Wisconsin"
6.885,"Vancouver, Washington"
6.976,"Cary, North Carolina"
6.978,"Concord, North Carolina"
7.021,"Broken Arrow, Oklahoma"
7.282,"Chattanooga, Tennessee"
7.342,"Midland, Texas"
7.416,"New Haven, Connecticut"
7.485,"Fort Wayne, Indiana"
7.677,"Mesa, Arizona"
7.740,"The Woodlands, Texas"
7.833,"Olathe, Kansas"
7.838,"Grand Prairie, Texas"
7.877,"Killeen, Texas"
7.890,"North Charleston, South Carolina"
7.934,"Greensboro, North Carolina"
8.096,"Allen, Texas"
8.280,"Irvine, California"
8.294,"Columbia, South Carolina"
8.302,"Rio Rancho, New Mexico"
8.317,"Gilbert, Arizona"
8.384,"Fontana, California"
8.830,"West Palm Beach, Florida"
8.954,"Knoxville, Tennessee"
8.993,"Ontario, California"
9.004,"Peoria, Arizona"
9.009,"Columbus, Ohio"
9.237,"Wilmington, North Carolina"
9.494,"Tuscaloosa, Alabama"
9.508,"Lewisville, Texas"
9.602,"Fargo, North Dakota"
