population_won,city
10801,Bakersfield
10844,Washington
11038,Aurora
11110,Colorado Springs
11168,Lakeland
11820,Lubbock
11910,Salt Lake City
12209,Huntsville
13142,Round Rock
13245,Reno
13606,Menifee
14158,Roseville
14569,Atlanta
15564,Murfreesboro
15656,Durham
17210,Orlando
17277,Nampa
17297,Sioux Falls
17462,Miami
17609,Clarksville
18504,Surprise
18622,Goodyear
18740,Austin
18846,Las Vegas
19350,Seattle
19850,Houston
20197,Buckeye
20477,Meridian
20537,Palm Bay
20586,Tampa
21349,McKinney
21740,Enterprise
22588,Raleigh
22657,Conroe
22989,Denton
24310,Henderson
25753,New Braunfels
26252,Oklahoma City
29670,Frisco
31409,North Las Vegas
38710,Cape Coral
45284,Jacksonville
47412,Charlotte
50148,Phoenix
50941,Port St. Lucie
73154,Fort Worth
74717,San Antonio
