pop_2024,city,state,pop_2020,change_24_20,pop_density_mile2,area_mile2
209232,Des Moines,Iowa,213826,-4594,2373,88.16
208476,Worcester,Massachusetts,205056,3420,5580,37.36
206544,Yonkers,New York,210994,-4450,11471,18.01
206078,Rochester,New York,210862,-4784,5763,35.76
204244,Little Rock,Arkansas,202634,1610,1698,120.28
204093,Grand Prairie,Texas,196255,7838,2815,72.51
203650,Tallahassee,Florida,197933,5717,1988,102.43
203035,Amarillo,Texas,200526,2509,1960,103.61
201001,Peoria,Arizona,191997,9004,1138,176.7
200512,Augusta-Richmond County (balance),Georgia,201999,-1487,663,302.28
200400,Knoxville,Tennessee,191446,8954,2030,98.73
200167,Columbus,Georgia,207006,-6839,925,216.5
198463,Sunrise Manor,Nevada,198187,276,5887,33.71
198163,Vancouver,Washington,191278,6885,4065,48.75
197347,Oxnard,California,201911,-4564,7434,26.55
196874,Overland Park,Kansas,197734,-860,2617,75.22
195908,Grand Rapids,Michigan,198707,-2799,4375,44.78
195400,Birmingham,Alabama,200375,-4975,1329,147.07
193702,Montgomery,Alabama,200041,-6339,1212,159.86
191336,Tempe,Arizona,185328,6008,4786,39.98
191209,Brownsville,Texas,187004,4205,1451,131.8
190807,Providence,Rhode Island,190745,62,10367,18.41
190037,Huntington Beach,California,198405,-8368,7043,26.98
189495,Paradise,Nevada,193150,-3655,4469,42.4
188850,Chattanooga,Tennessee,181568,7282,1327,142.35
188219,Akron,Ohio,190146,-1927,3039,61.93
185118,Clarksville,Tennessee,167509,17609,1856,99.75
184709,Fort Lauderdale,Florida,182892,1817,5341,34.58
184705,Ontario,California,175712,8993,3695,49.98
184088,Glendale,California,195934,-11846,6040,30.48
182141,Newport News,Virginia,186047,-3906,2640,69.0
181754,Cary,North Carolina,174778,6976,3023,60.13
181253,Mobile,Alabama,186621,-5368,1299,139.48
179069,Elk Grove,California,176569,2500,4203,42.6
178056,Eugene,Oregon,177428,628,4006,44.45
177928,Salem,Oregon,175942,1986,3636,48.93
176679,Aurora,Illinois,180215,-3536,3922,45.05
175140,Santa Rosa,California,177959,-2819,4117,42.54
174996,Shreveport,Louisiana,186848,-11852,1618,108.14
174312,Rancho Cucamonga,California,174683,-371,3748,46.51
171134,Pembroke Pines,Florida,171073,61,5236,32.68
170525,Springfield,Missouri,169177,1348,2049,83.21
170507,Fort Collins,Colorado,169982,525,2979,57.23
169321,Murfreesboro,Tennessee,153757,15564,2634,64.28
168705,Oceanside,California,173965,-5260,4088,41.27
167024,Garden Grove,California,171863,-4839,9303,17.95
164096,Denton,Texas,141107,22989,1693,96.92
163950,Lancaster,California,173094,-9144,1739,94.28
162911,Surprise,Arizona,144407,18504,1474,110.5
162674,Roseville,California,148516,14158,3690,44.09
161612,Killeen,Texas,153735,7877,2958,54.63
161161,Corona,California,157468,3693,4040,39.89
158907,Palmdale,California,168895,-9988,1498,106.06
158211,Salinas,California,163391,-5180,6728,23.52
156868,Charleston,South Carolina,150872,5996,1363,115.05
156337,Macon-Bibb County,Georgia,157035,-698,627,249.38
155865,Lakewood,Colorado,156247,-382,3587,43.46
155495,Paterson,New Jersey,159323,-3828,18483,8.41
154211,Hollywood,Florida,152802,1409,5659,27.25
153927,Alexandria,Virginia,159139,-5212,10306,14.94
153344,Hayward,California,162666,-9322,3347,45.82
153136,Springfield,Massachusetts,155280,-2144,4805,31.87
151811,Kansas City,Kansas,156298,-4487,1217,124.74
151505,Bellevue,Washington,151780,-275,4527,33.47
150872,Sunnyvale,California,155250,-4378,6839,22.06
150568,Joliet,Illinois,150251,317,2277,66.12
150520,Naperville,Illinois,149419,1101,3844,39.16
149419,Olathe,Kansas,141586,7833,2393,62.45
148131,Bridgeport,Connecticut,147717,414,9221,16.06
147989,McAllen,Texas,142404,5585,2374,62.33
147845,Savannah,Georgia,147456,389,1358,108.89
147158,Escondido,California,151014,-3856,3940,37.35
147001,Gainesville,Florida,142245,4756,2297,63.99
146547,Mesquite,Texas,149627,-3080,2985,49.1
146241,Waco,Texas,140541,5700,1607,91.0
146073,Visalia,California,141771,4302,3827,38.17
145834,Thornton,Colorado,142185,3649,3995,36.5
145270,Rockford,Illinois,148670,-3400,2232,65.08
145171,Syracuse,New York,146726,-1555,5793,25.06
145165,Pasadena,Texas,151368,-6203,3323,43.69
144489,Columbia,South Carolina,136195,8294,1045,138.26
143674,Pomona,California,150984,-7310,6251,22.98
