population_won,city
16,Lafayette
61,Pembroke Pines
62,Providence
273,Santa Maria
276,Sunrise Manor
298,Modesto
317,Joliet
322,Spokane
382,Everett
389,Savannah
414,Bridgeport
447,Metairie
525,Fort Collins
628,Eugene
634,Pittsburgh
772,Fayetteville
784,Temecula
976,Murrieta
984,Coral Springs
