population,city_state
121324,"Concord, California"
121079,"Fairfield, California"
120949,"Broken Arrow, Oklahoma"
120437,"Arvada, Colorado"
120263,"Independence, Missouri"
120022,"Spring Hill, Florida"
119626,"Hartford, Connecticut"
118587,"Nampa, Idaho"
118212,"Cambridge, Massachusetts"
117971,"Ann Arbor, Michigan"
117668,"Antioch, California"
117619,"High Point, North Carolina"
117396,"New Braunfels, Texas"
117214,"Berkeley, California"
116874,"League City, Texas"
116834,"Menifee, California"
116813,"Richardson, Texas"
116689,"Clearwater, Florida"
116460,"Goodyear, Arizona"
116015,"Odessa, Texas"
115956,"Las Cruces, New Mexico"
115462,"Manchester, New Hampshire"
115360,"Waterbury, Connecticut"
114651,"Evansville, Indiana"
114302,"Westminster, Colorado"
114200,"West Jordan, Utah"
114173,"Pompano Beach, Florida"
114109,"Brandon, Florida"
113958,"Buckeye, Arizona"
113940,"East Los Angeles, California"
113912,"Conroe, Texas"
113907,"Lowell, Massachusetts"
113721,"Greeley, Colorado"
113711,"Tuscaloosa, Alabama"
113644,"Allen, Texas"
113409,"Richmond, California"
113018,"Carlsbad, California"
112874,"Elgin, Illinois"
112756,"Provo, Utah"
112735,"Rio Rancho, New Mexico"
112122,"Murrieta, California"
111964,"Lansing, Michigan"
111959,"Springfield, Illinois"
111863,"Concord, North Carolina"
111823,"South Fulton, Georgia"
111678,"Tyler, Texas"
111305,"Beaumont, Texas"
111275,"Everett, Washington"
110878,"Temecula, California"
110803,"Pueblo, Colorado"
110801,"Sparks, Nevada"
110463,"Miami Gardens, Florida"
110055,"Santa Maria, California"
